Id Label Weight
赛猛 赛猛 1
别太 别太 2
小狗 小狗 1
亢龙 亢龙 3
汤圆 汤圆 18
林朝英 林朝英 1
钱塞 钱塞 2
胡来 胡来 22
杜大 杜大 1
那根筋 那根筋 1
连猪狗 连猪狗 1
郭躲 郭躲 1
解厄 解厄 2
顾问 顾问 5
汤盛 汤盛 1
荣华 荣华 1
燕子 燕子 3
东挑西 东挑西 1
浮萍 浮萍 1
曹公公 曹公公 34
涂涂 涂涂 1
白三娘 白三娘 246
小六子 小六子 8
小七 小七 3
古老 古老 1
花生米 花生米 7
诸名葛亮 诸名葛亮 1
扶凤钗 扶凤钗 1
拉客 拉客 5
祖孙三代 祖孙三代 2
吕先生 吕先生 34
双薪 双薪 6
花大钱 花大钱 1
白闪 白闪 3
金瓶梅 金瓶梅 3
白汤 白汤 1
武当派 武当派 3
顾客 顾客 3
明哲保身 明哲保身 1
郭一喜 郭一喜 4
老罗 老罗 27
燕赤侠 燕赤侠 1
别提 别提 11
老虎 老虎 12
太祖 太祖 1
小雷 小雷 1
塞向 塞向 1
李猛 李猛 1
姬一掌 姬一掌 2
李清照 李清照 1
刘宝瑞 刘宝瑞 1
吕从 吕从 1
慈母 慈母 1
巨侠 巨侠 1
惠山 惠山 1
白大惊 白大惊 4
小样儿 小样儿 5
张学友 张学友 1
邱小冬 邱小冬 90
奸夫淫妇 奸夫淫妇 1
郭立 郭立 1
玉树临风 玉树临风 1
宋仁宗 宋仁宗 1
铁青 铁青 2
白和赛 白和赛 1
高风亮节 高风亮节 1
无坚 无坚 1
尚尚 尚尚 1
水淹 水淹 1
吕和郭 吕和郭 1
白居易 白居易 4
葛三叔 葛三叔 4
郭点 郭点 1
佟笑 佟笑 1
木耳 木耳 1
秀外慧中 秀外慧中 2
慧眼 慧眼 1
二少爷 二少爷 1
毛巾 毛巾 31
玉珮 玉珮 4
咸蛋 咸蛋 2
李卿 李卿 3
丁春秋 丁春秋 1
特香 特香 2
安神 安神 1
谢凑 谢凑 1
白欲 白欲 13
老干妈 老干妈 1
白抱 白抱 1
小六刚 小六刚 2
高强 高强 2
华丽 华丽 2
天良 天良 2
琼瑶 琼瑶 1
小六猛 小六猛 2
老鹰 老鹰 6
白刃 白刃 1
银耳 银耳 4
别滋儿 别滋儿 1
鲍翅 鲍翅 1
凤求凰 凤求凰 2
亦非台 亦非台 1
白正 白正 12
喻於义 喻於义 1
张大 张大 1
姜黄 姜黄 1
望女成凤 望女成凤 1
白强 白强 2
小郭藏 小郭藏 1
养牛 养牛 2
兰亭集序 兰亭集序 1
黑风寨 黑风寨 5
娶媳妇 娶媳妇 14
燕青 燕青 2
陆周祝 陆周祝 1
半拉 半拉 2
谢捧 谢捧 1
练歌房 练歌房 1
哈欠 哈欠 32
雨淋 雨淋 1
辛普森 辛普森 111
关关雎 关关雎 1
寿星 寿星 1
许胜 许胜 1
那声儿 那声儿 1
大愚若智 大愚若智 1
佟尝菜 佟尝菜 1
南方人 南方人 2
武林中 武林中 8
小意思 小意思 2
张望 张望 58
佟莫吕 佟莫吕 1
泰瑞宝 泰瑞宝 9
谢步东 谢步东 117
小郭托 小郭托 1
段子 段子 1
万幸 万幸 1
言语 言语 4
汤汤水水 汤汤水水 1
那时快 那时快 1
小点声 小点声 11
李上 李上 1
光辉 光辉 4
侯三捧 侯三捧 1
福临门 福临门 1
燕大 燕大 5
佟怀 佟怀 1
敬爱 敬爱 4
东一 东一 2
生小六 生小六 1
小姑子 小姑子 8
金湘玉 金湘玉 36
小郭拔 小郭拔 1
佟老汉 佟老汉 117
少男 少男 2
别吵 别吵 9
夏花 夏花 1
佟从白 佟从白 1
白配 白配 1
多时辰 多时辰 7
玉玺 玉玺 1
孔明 孔明 2
小恩小惠 小恩小惠 2
郭拉 郭拉 2
佟帮 佟帮 1
陆无双 陆无双 9
李逵 李逵 2
威名显赫 威名显赫 1
郎君 郎君 15
郭挺 郭挺 1
佟和莫 佟和莫 1
双宿双飞 双宿双飞 1
托腮 托腮 1
扶剑 扶剑 1
高招 高招 1
柳迎 柳迎 1
戚戚 戚戚 1
莫愁 莫愁 1
太贵 太贵 4
于朝堂 于朝堂 1
佟冲 佟冲 6
黄脸 黄脸 1
占上风 占上风 1
九香 九香 2
佩剑 佩剑 1
帅不帅 帅不帅 1
黄杨木 黄杨木 2
冷笑 冷笑 42
老爷爷 老爷爷 1
比人强 比人强 2
麦子 麦子 2
练练剑 练练剑 1
玉琢 玉琢 1
英才 英才 1
双飞 双飞 1
施粉黛 施粉黛 1
王重阳 王重阳 3
恩惠 恩惠 1
大有希望 大有希望 1
老赵 老赵 1
柳星 柳星 2
白花花 白花花 2
老佛爷 老佛爷 4
郭吕 郭吕 6
佟惊 佟惊 4
柳从 柳从 2
小屁孩 小屁孩 1
祖传 祖传 3
过榴 过榴 1
鱼香肉丝 鱼香肉丝 4
白扶 白扶 5
陈旧 陈旧 1
佟一喜 佟一喜 2
今天上午 今天上午 4
克母 克母 1
刑葛革 刑葛革 1
肯德基 肯德基 1
白眼狼 白眼狼 1
王侯 王侯 3
邢直 邢直 1
云彩 云彩 2
母夜叉 母夜叉 1
小丫挺 小丫挺 1
小郭扬 小郭扬 2
香熏 香熏 1
小郭刚 小郭刚 3
凤凰 凤凰 7
白欲拉 白欲拉 1
白将佟 白将佟 1
佟用 佟用 1
熊瞎子 熊瞎子 1
祝和周 祝和周 1
琼楼玉宇 琼楼玉宇 1
汤水 汤水 1
岳一惊 岳一惊 1
凌家 凌家 4
包一惊 包一惊 1
那小子 那小子 14
老先生 老先生 3
那姓展 那姓展 1
练武 练武 25
旺德 旺德 1
小提示 小提示 1
郭巨侠 郭巨侠 85
诗兴 诗兴 1
师傅 师傅 4
小郭盼 小郭盼 2
关怀 关怀 4
穆桂英 穆桂英 1
白和小郭 白和小郭 1
太精彩 太精彩 2
扁鹊 扁鹊 1
花柳 花柳 1
郭作 郭作 2
郭直 郭直 4
邢欲 邢欲 1
吕大嘴 吕大嘴 1
信天游 信天游 4
屈张 屈张 4
安全感 安全感 10
仰鼻 仰鼻 1
绿水青山 绿水青山 1
童养媳 童养媳 10
王府 王府 2
盛汤 盛汤 1
小郭 小郭 566
郭女侠 郭女侠 17
拉起邢 拉起邢 1
诸葛 诸葛 144
岳从 岳从 1
暴锤 暴锤 1
佟少侠 佟少侠 4
宁财神 宁财神 161
默默耕耘 默默耕耘 1
师爷 师爷 1
连顿 连顿 2
文明 文明 5
白与雷 白与雷 1
满屋子 满屋子 4
佟奔 佟奔 3
红卫兵 红卫兵 1
成仁 成仁 3
蒙汗药 蒙汗药 17
小六正 小六正 1
和恒山 和恒山 1
白冲 白冲 4
郭捂嘴 郭捂嘴 1
黄毛丫头 黄毛丫头 1
宝贝 宝贝 16
老罗朝 老罗朝 1
吐真言 吐真言 1
白刚 白刚 7
宾客 宾客 1
祝帮 祝帮 1
女中豪杰 女中豪杰 1
包冲 包冲 1
黑布 黑布 2
易清洗 易清洗 1
白在凌 白在凌 1
佟伯达 佟伯达 1
邢大 邢大 2
郭放 郭放 1
解释权 解释权 4
刚成立 刚成立 1
和小冬 和小冬 2
爱慕 爱慕 1
克隆 克隆 1
小郭冲 小郭冲 3
探戈 探戈 4
李大嘴 李大嘴 3362
白拉 白拉 1
郭大惊 郭大惊 4
祝用剑 祝用剑 1
荣幸 荣幸 11
小六闪 小六闪 1
那首歌 那首歌 3
练武功 练武功 6
师公 师公 1
小六特 小六特 1
瓦刀 瓦刀 1
拉勾 拉勾 3
恩爱 恩爱 1
佟守 佟守 7
寄希望于 寄希望于 1
哥屋恩 哥屋恩 1
佟端 佟端 3
亚鹏 亚鹏 1
祝您 祝您 3
郭进房 郭进房 1
司马迁 司马迁 1
白将 白将 2
柳凑 柳凑 1
哈兮 哈兮 3
包儿 包儿 2
别太重 别太重 1
秦始皇 秦始皇 1
左移 左移 1
蒙蒙亮 蒙蒙亮 5
醉八仙 醉八仙 1
黑又亮 黑又亮 1
加厚 加厚 2
凌迟 凌迟 2
胡掰 胡掰 1
盘桓 盘桓 1
干冰 干冰 1
吕洞宾 吕洞宾 1
花旦 花旦 1
佟寝 佟寝 153
和稀泥 和稀泥 1
刘德华 刘德华 3
扶老杨 扶老杨 1
连小六 连小六 1
同福挺 同福挺 1
殷用 殷用 1
咸淡 咸淡 4
拉稀 拉稀 2
小侠 小侠 1
黑木崖 黑木崖 1
呼伊呼 呼伊呼 1
卜一卦 卜一卦 1
小姐 小姐 53
帅胡 帅胡 1
佟喜 佟喜 2
皮越薄 皮越薄 1
白一 白一 12
赛奔 赛奔 2
莫将刀 莫将刀 1
唐门 唐门 5
郭朝 郭朝 8
任三郎 任三郎 1
巴掌 巴掌 9
侯三手 侯三手 1
熊猫眼 熊猫眼 4
官官相护 官官相护 1
成百纳 成百纳 1
谢包 谢包 1
连镇 连镇 1
岳欲 岳欲 1
拉进来 拉进来 1
小女儿 小女儿 1
小吕 小吕 2
阴晴不定 阴晴不定 1
龙飞凤舞 龙飞凤舞 1
花仙子 花仙子 3
济公 济公 1
小六 小六 433
老李 老李 1
明德 明德 2
张开 张开 7
关公 关公 3
孔子 孔子 9
仰脖 仰脖 1
子儿 子儿 3
天资聪颖 天资聪颖 1
小郭正 小郭正 5
郭一闪 郭一闪 1
白骨精 白骨精 1
容先 容先 1
岳飞 岳飞 3
辛苦费 辛苦费 1
马谡 马谡 1
川鲁 川鲁 1
白自拍 白自拍 1
松涛 松涛 82
翠玉 翠玉 8
佟朝白 佟朝白 3
孟子曰 孟子曰 1
李斯 李斯 1
春雷 春雷 1
智慧结晶 智慧结晶 1
青霞 青霞 1
少林寺 少林寺 2
九花玉 九花玉 1
老白非 老白非 1
白喝 白喝 1
白忙 白忙 3
盖新房 盖新房 1
汤勺 汤勺 1
小郭松 小郭松 1
连梦里 连梦里 1
杜康 杜康 1
以柔克刚 以柔克刚 2
段氏 段氏 1
胡同 胡同 2
包公 包公 1
老爹 老爹 4
郑公子 郑公子 6
练轻功 练轻功 4
马驹 马驹 1
天一亮 天一亮 1
仁兄 仁兄 9
白白 白白 7
智慧 智慧 26
姬端 姬端 1
赵钱孙 赵钱孙 1
郭一惊 郭一惊 4
佟直 佟直 1
老二 老二 1
乌龙茶 乌龙茶 1
赛扬 赛扬 1
白莫 白莫 1
韩放 韩放 1
白清 白清 1
那老白 那老白 2
比湘玉 比湘玉 1
佟关 佟关 1
荆柯 荆柯 1
朱某 朱某 1
白和岳 白和岳 1
温文尔雅 温文尔雅 2
五子棋 五子棋 3
唐僧肉 唐僧肉 1
双侠 双侠 7
小六吓 小六吓 2
杨姐姐 杨姐姐 1
小玩艺儿 小玩艺儿 3
佟眉 佟眉 2
满天星 满天星 1
塞进去 塞进去 1
小六赤 小六赤 1
越战越勇 越战越勇 1
完侠 完侠 1
林少侠 林少侠 1
李庆喜 李庆喜 1
杨过杨 杨过杨 1
宝剑 宝剑 4
明察秋毫 明察秋毫 1
红颜 红颜 1
武侠 武侠 9
凡尘 凡尘 1
和小郭 和小郭 8
吕家 吕家 1
连剑 连剑 1
探口风 探口风 1
王先生 王先生 8
上官云 上官云 6
练声 练声 1
赛梨 赛梨 1
陶醉 陶醉 1
孙子 孙子 6
东南风 东南风 1
那小郭 那小郭 1
小齐 小齐 1
楚文化 楚文化 1
古钿 古钿 1
邢入 邢入 3
苏醒 苏醒 1
白练 白练 1
龙岛主 龙岛主 1
言辞 言辞 1
士可忍 士可忍 1
七仙女 七仙女 1
高堂 高堂 2
佟和白 佟和白 31
雷恩 雷恩 1
郭驾 郭驾 1
金子般 金子般 1
许可 许可 1
伯爵 伯爵 1
探监 探监 1
藏獒 藏獒 3
马勺 马勺 2
包眉 包眉 1
宫阙 宫阙 1
爸爸妈妈 爸爸妈妈 1
黑亮 黑亮 1
徐克 徐克 1
王八蛋 王八蛋 4
养老 养老 1
特邀 特邀 3
昨天早上 昨天早上 1
盘儿亮 盘儿亮 6
左家庄 左家庄 26
子孙后代 子孙后代 2
白照 白照 1
白领 白领 1
佟往白 佟往白 1
闻言 闻言 1
刘大哥 刘大哥 3
饶命 饶命 11
有完没完 有完没完 14
小六强 小六强 1
愿赌服输 愿赌服输 4
宝贝儿 宝贝儿 4
小石桥 小石桥 2
凤爪 凤爪 4
宝贵 宝贵 10
爱上王 爱上王 1
红里 红里 1
柳学 柳学 1
那老冯 那老冯 1
连小姬 连小姬 1
曹操 曹操 5
吕布 吕布 5
扶小 扶小 2
徐徐 徐徐 1
石石 石石 1
杜子俊 杜子俊 116
白送 白送 6
白郎 白郎 1
闻声 闻声 4
白干 白干 4
练剑 练剑 2
陈年 陈年 1
折寿 折寿 3
小罗 小罗 3
那展堂 那展堂 1
白直 白直 3
钱端壶 钱端壶 1
那明明 那明明 1
幼儿园 幼儿园 1
静思 静思 1
荣誉 荣誉 1
宝藏 宝藏 4
凯歌 凯歌 2
托梦 托梦 1
王谢堂前燕 王谢堂前燕 1
小翠 小翠 135
白氏 白氏 2
包和展 包和展 2
云开雾散 云开雾散 1
西瓜子 西瓜子 2
小龙女 小龙女 4
师娘 师娘 2
川鲁淮 川鲁淮 1
慈祥 慈祥 13
大力支持 大力支持 2
白一抖 白一抖 1
金白银 金白银 2
李持 李持 2
佟猫 佟猫 1
黄二黑 黄二黑 1
高力士 高力士 1
小白脸 小白脸 9
王八 王八 9
李大 李大 1
何以堪 何以堪 2
郭闪 郭闪 1
小狗狗 小狗狗 2
古董 古董 16
陆小凤 陆小凤 1
白和莫 白和莫 1
柳星雨 柳星雨 172
小六抢 小六抢 3
梁王 梁王 1
小星星 小星星 4
和煦 和煦 1
少侠 少侠 2
李氏 李氏 2
蓝宝石 蓝宝石 4
佟带岳 佟带岳 1
比武 比武 14
佟操 佟操 1
佟围 佟围 1
白翠萍 白翠萍 2
小脸儿 小脸儿 2
郭猛 郭猛 4
明白 明白 225
姬无命 姬无命 237
展朝 展朝 1
佟正 佟正 9
祖慧能 祖慧能 1
白扬 白扬 1
凌空 凌空 5
杨柳 杨柳 1
天赐良缘 天赐良缘 4
王王 王王 1
黑虎 黑虎 1
刚刚开始 刚刚开始 1
老妈妈 老妈妈 1
铁布衫 铁布衫 1
佟作 佟作 2
吕入 吕入 3
堵墙 堵墙 3
郎才女貌 郎才女貌 1
佟拔 佟拔 1
王伟 王伟 1
小点儿 小点儿 4
宝驹 宝驹 1
高老庄 高老庄 2
玉珮挂 玉珮挂 1
老白直 老白直 1
和蔼可亲 和蔼可亲 1
何喜 何喜 1
盖子 盖子 1
真够玄 真够玄 1
比洁 比洁 1
西北风 西北风 1
阳春 阳春 2
远远不够 远远不够 4
老王 老王 1
子加 子加 1
白和郭 白和郭 5
花心思 花心思 2
小郭侯 小郭侯 1
别以为 别以为 13
欧阳锋 欧阳锋 3
郭按 郭按 1
钱夫人 钱夫人 185
佟李吕 佟李吕 1
古琴 古琴 1
山珍海味 山珍海味 3
黎民 黎民 3
小红旗 小红旗 1
延绵 延绵 1
花四白 花四白 1
杜冲 杜冲 2
小郭入 小郭入 12
折回来 折回来 2
凌奔 凌奔 1
陆师兄 陆师兄 10
苗子 苗子 1
郭小姐 郭小姐 31
周全 周全 1
姬仰 姬仰 1
斯坦尼 斯坦尼 2
程娇娥 程娇娥 1
李富贵 李富贵 2
葛革 葛革 4
王菲 王菲 3
喻於利 喻於利 1
大雁塔 大雁塔 1
金钢钻 金钢钻 1
大恩 大恩 2
仁慈 仁慈 2
左耳 左耳 1
小超人 小超人 1
小龙虾 小龙虾 1
阳光 阳光 6
太甜 太甜 1
冷汗 冷汗 9
连汤 连汤 1
宣言 宣言 1
白脱 白脱 3
克格勃 克格勃 1
张嘴 张嘴 13
侯三呀 侯三呀 1
佟爷 佟爷 1
单飞 单飞 2
金朝 金朝 2
荣幸之至 荣幸之至 1
陆背 陆背 1
郭带杨 郭带杨 1
叶孤城 叶孤城 8
展刚 展刚 2
维生素 维生素 4
小宝 小宝 26
玉足 玉足 1
黄黄 黄黄 2
鲁莽 鲁莽 4
小谢 小谢 1
佟湘玉 佟湘玉 7910
牛柳 牛柳 2
小轩窗 小轩窗 1
松香 松香 1
老虎凳 老虎凳 2
佟接壶 佟接壶 1
扶正 扶正 1
小冬 小冬 12
小郭照 小郭照 1
佟刚 佟刚 4
老葛家 老葛家 1
李家沟 李家沟 5
温馨 温馨 5
别登 别登 1
佟入 佟入 26
康桑 康桑 4
伯父 伯父 9
但展堂 但展堂 1
佟盖 佟盖 1
连碗水 连碗水 1
小红花 小红花 1
公正 公正 1
郭扎 郭扎 1
普天下 普天下 1
暴风雨 暴风雨 2
牛劲 牛劲 1
杨举 杨举 2
道谢 道谢 1
白奔 白奔 3
阎王爷 阎王爷 5
汤儿 汤儿 3
万永 万永 1
向南飞 向南飞 1
小郭猛 小郭猛 3
姬提刀 姬提刀 1
刑和白 刑和白 1
莫小贝 莫小贝 2124
女魔头 女魔头 2
李素丽 李素丽 1
练家子 练家子 1
左青龙 左青龙 1
乔峰 乔峰 2
老郭 老郭 3
祝周 祝周 1
白掰 白掰 1
谢躺 谢躺 1
河之洲 河之洲 1
白狼 白狼 2
老葛 老葛 1
孙儿 孙儿 4
望子成龙 望子成龙 1
南亭 南亭 1
太久 太久 3
马嘶鸣 马嘶鸣 1
佟欲 佟欲 6
老九 老九 2
白连 白连 2
不提也罢 不提也罢 1
田野 田野 2
格式化 格式化 1
佟气 佟气 1
邢和燕 邢和燕 5
西一 西一 2
钱少 钱少 1
邢脱 邢脱 1
何生亮 何生亮 1
元配 元配 3
姬家那 姬家那 1
野狐禅 野狐禅 7
郭冲 郭冲 1
凌松 凌松 1
欧耶 欧耶 2
醉仙楼 醉仙楼 5
官一升 官一升 1
孔雀 孔雀 3
女士优先 女士优先 1
黄玫瑰 黄玫瑰 1
高坡 高坡 1
吕持 吕持 2
查询费 查询费 1
玄女爪 玄女爪 1
老大爷 老大爷 2
王朔 王朔 1
明师 明师 2
熊猫 熊猫 1
母老虎 母老虎 1
谢扑 谢扑 2
龙虾 龙虾 1
谢谢 谢谢 188
尼姑庵 尼姑庵 1
大驾光临 大驾光临 2
杨小姐 杨小姐 1
白猛 白猛 5
谢礼 谢礼 1
玉姐 玉姐 38
钱灌白 钱灌白 1
申奥 申奥 1
佟忙 佟忙 1
马屁 马屁 1
孙二娘 孙二娘 3
来七侠 来七侠 1
朱先生 朱先生 50
小六喊 小六喊 1
相敬如宾 相敬如宾 2
慈悲心 慈悲心 1
虞姬 虞姬 2
佟顿 佟顿 1
胡猜 胡猜 1
老聃 老聃 1
一个愿挨 一个愿挨 1
毛发 毛发 2
唐三彩 唐三彩 2
生津 生津 1
乌鸡汤 乌鸡汤 1
山海经 山海经 2
郭和吕 郭和吕 4
胡闹 胡闹 11
陆扶剑 陆扶剑 1
陆某 陆某 1
秋毫 秋毫 1
老杨 老杨 21
雷轰 雷轰 1
特邀嘉宾 特邀嘉宾 1
玉湘玉 玉湘玉 2
归燕 归燕 1
惜郭靖 惜郭靖 2
无语凝 无语凝 1
静默 静默 4
小六惊 小六惊 1
水灵灵 水灵灵 2
玄静师 玄静师 1
陈茶 陈茶 1
小日子 小日子 3
碧波荡漾 碧波荡漾 1
萧剑 萧剑 1
阿斗 阿斗 2
郭磨 郭磨 1
